any;àmbit territorial de planificació;branques d'activitat;concepte;estat;valor
2013;Penedès;transport, informació i comunicacions;valor afegit brut (milions €);;377,5
2013;Penedès;hostaleria;valor afegit brut (milions €);;462,2
2013;Penedès;activitats financeres i d'assegurances;valor afegit brut (milions €);;216,2
2013;Penedès;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;1871,2
2013;Penedès;administració pública i altres serveis;valor afegit brut (milions €);;1402,9
2013;Penedès;total;valor afegit brut (milions €);;5499
2013;Catalunya;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;28602
2013;Catalunya;transport, informació i comunicacions;valor afegit brut (milions €);;15867,9
2013;Catalunya;hostaleria;valor afegit brut (milions €);;10121,9
2013;Catalunya;activitats financeres i d'assegurances;valor afegit brut (milions €);;6322,6
2013;Catalunya;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;40924,8
2013;Catalunya;administració pública i altres serveis;valor afegit brut (milions €);;37144,3
2013;Catalunya;total;valor afegit brut (milions €);;138983,5
2014;Metropolità;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;19627,3
2014;Metropolità;transport, informació i comunicacions;valor afegit brut (milions €);;12845,3
2014;Metropolità;hostaleria;valor afegit brut (milions €);;7069,4
2014;Metropolità;activitats financeres i d'assegurances;valor afegit brut (milions €);;5359,8
2014;Metropolità;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;31320,2
2014;Metropolità;administració pública i altres serveis;valor afegit brut (milions €);;26231,2
2014;Metropolità;total;valor afegit brut (milions €);;102453,1
2014;Comarques Gironines;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;2364
2014;Comarques Gironines;transport, informació i comunicacions;valor afegit brut (milions €);;810,3
2014;Comarques Gironines;hostaleria;valor afegit brut (milions €);;1326,1
2014;Comarques Gironines;activitats financeres i d'assegurances;valor afegit brut (milions €);;460,6
2014;Comarques Gironines;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;3278,5
2014;Comarques Gironines;administració pública i altres serveis;valor afegit brut (milions €);;3194,8
2014;Comarques Gironines;total;valor afegit brut (milions €);;11434,2
2014;Camp de Tarragona;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1374,6
2014;Camp de Tarragona;transport, informació i comunicacions;valor afegit brut (milions €);;881,4
2014;Camp de Tarragona;hostaleria;valor afegit brut (milions €);;830,4
2014;Camp de Tarragona;activitats financeres i d'assegurances;valor afegit brut (milions €);;293,9
2014;Camp de Tarragona;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;2186,8
2014;Camp de Tarragona;administració pública i altres serveis;valor afegit brut (milions €);;2637,9
2014;Camp de Tarragona;total;valor afegit brut (milions €);;8204,9
2014;Terres de l'Ebre;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;447,9
2014;Terres de l'Ebre;transport, informació i comunicacions;valor afegit brut (milions €);;166,4
2014;Terres de l'Ebre;hostaleria;valor afegit brut (milions €);;163,9
2014;Terres de l'Ebre;activitats financeres i d'assegurances;valor afegit brut (milions €);;91,2
2014;Terres de l'Ebre;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;506,5
2014;Terres de l'Ebre;administració pública i altres serveis;valor afegit brut (milions €);;710,4
2014;Terres de l'Ebre;total;valor afegit brut (milions €);;2086,3
2014;Ponent;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1250,5
2014;Ponent;transport, informació i comunicacions;valor afegit brut (milions €);;535,3
2014;Ponent;hostaleria;valor afegit brut (milions €);;286,7
2014;Ponent;activitats financeres i d'assegurances;valor afegit brut (milions €);;204,8
2014;Ponent;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;1050
2014;Ponent;administració pública i altres serveis;valor afegit brut (milions €);;1821,1
2014;Ponent;total;valor afegit brut (milions €);;5148,4
2014;Comarques Centrals;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1143,9
2014;Comarques Centrals;transport, informació i comunicacions;valor afegit brut (milions €);;465
2014;Comarques Centrals;hostaleria;valor afegit brut (milions €);;341,5
2014;Comarques Centrals;activitats financeres i d'assegurances;valor afegit brut (milions €);;212,9
2014;Comarques Centrals;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;1572,4
2014;Comarques Centrals;administració pública i altres serveis;valor afegit brut (milions €);;1568,4
2014;Comarques Centrals;total;valor afegit brut (milions €);;5304,1
2014;Alt Pirineu i Aran;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;168,6
2014;Alt Pirineu i Aran;transport, informació i comunicacions;valor afegit brut (milions €);;65,5
2014;Alt Pirineu i Aran;hostaleria;valor afegit brut (milions €);;218,4
2014;Alt Pirineu i Aran;activitats financeres i d'assegurances;valor afegit brut (milions €);;30,5
2014;Alt Pirineu i Aran;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;255,2
2014;Alt Pirineu i Aran;administració pública i altres serveis;valor afegit brut (milions €);;374,5
2014;Alt Pirineu i Aran;total;valor afegit brut (milions €);;1112,7
2014;Penedès;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;1108,2
2014;Penedès;transport, informació i comunicacions;valor afegit brut (milions €);;390,1
2014;Penedès;hostaleria;valor afegit brut (milions €);;473,1
2014;Penedès;activitats financeres i d'assegurances;valor afegit brut (milions €);;238,3
2014;Penedès;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;1912,1
2014;Penedès;administració pública i altres serveis;valor afegit brut (milions €);;1431,2
2014;Penedès;total;valor afegit brut (milions €);;5552,9
2014;Catalunya;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;27484,9
2014;Catalunya;transport, informació i comunicacions;valor afegit brut (milions €);;16159,2
2014;Catalunya;hostaleria;valor afegit brut (milions €);;10709,4
2014;Catalunya;activitats financeres i d'assegurances;valor afegit brut (milions €);;6892
2014;Catalunya;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;42081,8
2014;Catalunya;administració pública i altres serveis;valor afegit brut (milions €);;37969,4
2014;Catalunya;total;valor afegit brut (milions €);;141296,7
2015;Metropolità;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;19849,4
2015;Metropolità;transport, informació i comunicacions;valor afegit brut (milions €);;13170,4
2015;Metropolità;hostaleria;valor afegit brut (milions €);;8086,6
2015;Metropolità;activitats financeres i d'assegurances;valor afegit brut (milions €);;5352,9
2015;Metropolità;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;32191,6
2015;Metropolità;administració pública i altres serveis;valor afegit brut (milions €);;27329,4
2015;Metropolità;total;valor afegit brut (milions €);;105980,3
2015;Comarques Gironines;"comerç a l'engròs i al detall; reparació de vehicles de motor i motocicletes";valor afegit brut (milions €);;2268,5
2015;Comarques Gironines;transport, informació i comunicacions;valor afegit brut (milions €);;802
2015;Comarques Gironines;hostaleria;valor afegit brut (milions €);;1483,9
2015;Comarques Gironines;activitats financeres i d'assegurances;valor afegit brut (milions €);;473,3
2015;Comarques Gironines;activitats immobiliàries, tècniques i administratives;valor afegit brut (milions €);;3237,7
2015;Comarques Gironines;administració pública i altres serveis;valor afegit brut (milions €);;3514,7
2015;Comarques Gironines;total;valor afegit brut (milions €);;11780,2
