"Any","Codi comarca","Comarca","Població","Domèstic xarxa","Activitats econòmiques i fonts pròpies","Total","Consum domèstic per càpita"
"2021","39","VAL D'ARAN, LA","10.372","1.391.774","928.523","2.320.297","367,63"
"2021","40","VALLÈS OCCIDENTAL, EL","937.422","38.835.630","22.448.842","61.284.472","113,5"
"2021","41","VALLÈS ORIENTAL, EL","415.789","17.604.767","13.078.062","30.682.829","116"
"2021","42","Moianès","14.243","675.920","669.991","1.345.911","130,02"
"2020","1","ALT CAMP, L'","44.695","1.739.657","2.765.098","4.504.755","106,64"
"2020","2","ALT EMPORDÀ, L'","142.624","8.213.884","3.763.326","11.977.210","157,78"
"2020","3","ALT PENEDÈS, L'","109.606","4.631.724","2.826.014","7.457.738","115,78"
"2020","4","ALT URGELL, L'","20.231","998.866","1.246.176","2.245.042","135,27"
"2020","5","ALTA RIBAGORÇA, L'","3.825","462.235","328.691","790.926","331,08"
"2020","6","ANOIA, L'","123.024","5.237.834","5.737.053","10.974.887","116,65"
"2020","7","BAGES, EL","180.575","7.693.992","5.930.717","13.624.709","116,74"
"2020","8","BAIX CAMP, EL","194.127","9.818.470","5.103.559","14.922.029","138,57"
"2020","9","BAIX EBRE, EL","78.011","3.503.009","4.246.346","7.749.355","123,02"
"2020","10","BAIX EMPORDÀ, EL","135.805","10.258.046","5.056.592","15.314.638","206,95"
"2020","11","BAIX LLOBREGAT, EL","834.653","34.819.985","22.181.562","57.001.547","114,3"
"2020","12","BAIX PENEDÈS, EL","107.803","6.546.748","1.836.060","8.382.808","166,38"
"2020","13","BARCELONÈS, EL","2.314.620","93.135.769","33.065.103","126.200.872","110,24"
"2020","14","BERGUEDÀ, EL","39.980","1.492.692","1.101.383","2.594.075","102,29"
"2020","15","CERDANYA, LA","18.525","1.460.081","1.715.563","3.175.644","215,94"
"2020","16","CONCA DE BARBERÀ, LA","19.947","794.102","544.995","1.339.097","109,07"
"2020","17","GARRAF, EL","152.801","7.890.729","2.265.947","10.156.676","141,48"
"2020","18","GARRIGUES, LES","18.873","762.027","807.156","1.569.183","110,62"
"2020","19","GARROTXA, LA","58.620","2.575.160","3.741.090","6.316.250","120,36"
"2020","20","GIRONÈS, EL","197.104","7.923.915","6.691.534","14.615.449","110,14"
"2020","21","MARESME, EL","458.626","22.190.829","7.576.607","29.767.436","132,56"
"2020","22","MONTSIÀ, EL","68.263","2.863.081","1.865.926","4.729.007","114,91"
"2020","23","NOGUERA, LA","39.132","1.812.182","1.682.269","3.494.451","126,88"
"2020","24","OSONA","163.702","6.757.954","7.920.903","14.678.857","113,1"
"2020","25","PALLARS JUSSÀ, EL","13.227","800.873","253.477","1.054.350","165,89"
"2020","26","PALLARS SOBIRÀ, EL","6.930","561.646","556.285","1.117.931","222,04"
"2020","27","PLA D'URGELL, EL","36.737","1.659.413","4.335.065","5.994.478","123,75"
"2020","28","PLA DE L'ESTANY, EL","32.637","1.424.715","1.448.611","2.873.326","119,6"
"2020","29","PRIORAT, EL","9.160","346.877","117.637","464.514","103,75"
"2020","30","RIBERA D'EBRE, LA","21.870","1.036.795","2.989.309","4.026.104","129,88"
"2020","31","RIPOLLÈS, EL","25.253","1.134.721","1.254.046","2.388.767","123,11"
"2020","32","SEGARRA, LA","23.318","898.650","2.678.326","3.576.976","105,59"
"2020","33","SEGRIÀ, EL","211.840","10.019.032","6.632.310","16.651.342","129,58"
"2020","34","SELVA, LA","174.638","8.931.510","8.250.191","17.181.701","140,12"
